persistence_length,num_fibers,noise_density,fov,curvature_min,curvature_max,filename,timestamp,simulation_id,repeat_id,status
17000,4,0.3,1000,0.0,0.005,network_repeat_50_comb_1.pt,2024-12-09 11:45:10,1,50,completed
,4,0.3,1000,0.0,0.005,network_repeat_51_comb_0.pt,2024-12-09 11:45:11,0,51,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_51_comb_1.pt,2024-12-09 11:45:11,1,51,completed
,4,0.3,1000,0.0,0.005,network_repeat_52_comb_0.pt,2024-12-09 11:45:12,0,52,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_52_comb_1.pt,2024-12-09 11:45:12,1,52,completed
,4,0.3,1000,0.0,0.005,network_repeat_53_comb_0.pt,2024-12-09 11:45:13,0,53,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_53_comb_1.pt,2024-12-09 11:45:13,1,53,completed
,4,0.3,1000,0.0,0.005,network_repeat_54_comb_0.pt,2024-12-09 11:45:14,0,54,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_54_comb_1.pt,2024-12-09 11:45:14,1,54,completed
,4,0.3,1000,0.0,0.005,network_repeat_55_comb_0.pt,2024-12-09 11:45:15,0,55,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_55_comb_1.pt,2024-12-09 11:45:15,1,55,completed
,4,0.3,1000,0.0,0.005,network_repeat_56_comb_0.pt,2024-12-09 11:45:15,0,56,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_56_comb_1.pt,2024-12-09 11:45:16,1,56,completed
,4,0.3,1000,0.0,0.005,network_repeat_57_comb_0.pt,2024-12-09 11:45:16,0,57,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_57_comb_1.pt,2024-12-09 11:45:17,1,57,completed
,4,0.3,1000,0.0,0.005,network_repeat_58_comb_0.pt,2024-12-09 11:45:17,0,58,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_58_comb_1.pt,2024-12-09 11:45:18,1,58,completed
,4,0.3,1000,0.0,0.005,network_repeat_59_comb_0.pt,2024-12-09 11:45:18,0,59,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_59_comb_1.pt,2024-12-09 11:45:19,1,59,completed
,4,0.3,1000,0.0,0.005,network_repeat_60_comb_0.pt,2024-12-09 11:45:19,0,60,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_60_comb_1.pt,2024-12-09 11:45:20,1,60,completed
,4,0.3,1000,0.0,0.005,network_repeat_61_comb_0.pt,2024-12-09 11:45:20,0,61,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_61_comb_1.pt,2024-12-09 11:45:20,1,61,completed
,4,0.3,1000,0.0,0.005,network_repeat_62_comb_0.pt,2024-12-09 11:45:21,0,62,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_62_comb_1.pt,2024-12-09 11:45:21,1,62,completed
,4,0.3,1000,0.0,0.005,network_repeat_63_comb_0.pt,2024-12-09 11:45:22,0,63,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_63_comb_1.pt,2024-12-09 11:45:23,1,63,completed
,4,0.3,1000,0.0,0.005,network_repeat_64_comb_0.pt,2024-12-09 11:45:23,0,64,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_64_comb_1.pt,2024-12-09 11:45:23,1,64,completed
,4,0.3,1000,0.0,0.005,network_repeat_65_comb_0.pt,2024-12-09 11:45:23,0,65,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_65_comb_1.pt,2024-12-09 11:45:24,1,65,completed
,4,0.3,1000,0.0,0.005,network_repeat_66_comb_0.pt,2024-12-09 11:45:25,0,66,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_66_comb_1.pt,2024-12-09 11:45:25,1,66,completed
,4,0.3,1000,0.0,0.005,network_repeat_67_comb_0.pt,2024-12-09 11:45:25,0,67,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_67_comb_1.pt,2024-12-09 11:45:26,1,67,completed
,4,0.3,1000,0.0,0.005,network_repeat_68_comb_0.pt,2024-12-09 11:45:27,0,68,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_68_comb_1.pt,2024-12-09 11:45:27,1,68,completed
,4,0.3,1000,0.0,0.005,network_repeat_69_comb_0.pt,2024-12-09 11:45:28,0,69,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_69_comb_1.pt,2024-12-09 11:45:28,1,69,completed
,4,0.3,1000,0.0,0.005,network_repeat_70_comb_0.pt,2024-12-09 11:45:29,0,70,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_70_comb_1.pt,2024-12-09 11:45:29,1,70,completed
,4,0.3,1000,0.0,0.005,network_repeat_71_comb_0.pt,2024-12-09 11:45:30,0,71,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_71_comb_1.pt,2024-12-09 11:45:30,1,71,completed
,4,0.3,1000,0.0,0.005,network_repeat_72_comb_0.pt,2024-12-09 11:45:30,0,72,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_72_comb_1.pt,2024-12-09 11:45:31,1,72,completed
,4,0.3,1000,0.0,0.005,network_repeat_73_comb_0.pt,2024-12-09 11:45:31,0,73,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_73_comb_1.pt,2024-12-09 11:45:32,1,73,completed
,4,0.3,1000,0.0,0.005,network_repeat_74_comb_0.pt,2024-12-09 11:45:32,0,74,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_74_comb_1.pt,2024-12-09 11:45:32,1,74,completed
,4,0.3,1000,0.0,0.005,network_repeat_75_comb_0.pt,2024-12-09 11:45:33,0,75,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_75_comb_1.pt,2024-12-09 11:45:34,1,75,completed
,4,0.3,1000,0.0,0.005,network_repeat_76_comb_0.pt,2024-12-09 11:45:34,0,76,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_76_comb_1.pt,2024-12-09 11:45:35,1,76,completed
,4,0.3,1000,0.0,0.005,network_repeat_77_comb_0.pt,2024-12-09 11:45:35,0,77,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_77_comb_1.pt,2024-12-09 11:45:35,1,77,completed
,4,0.3,1000,0.0,0.005,network_repeat_78_comb_0.pt,2024-12-09 11:45:36,0,78,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_78_comb_1.pt,2024-12-09 11:45:36,1,78,completed
,4,0.3,1000,0.0,0.005,network_repeat_79_comb_0.pt,2024-12-09 11:45:37,0,79,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_79_comb_1.pt,2024-12-09 11:45:37,1,79,completed
,4,0.3,1000,0.0,0.005,network_repeat_80_comb_0.pt,2024-12-09 11:45:37,0,80,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_80_comb_1.pt,2024-12-09 11:45:38,1,80,completed
